"Iteration"	"Chain"	"Parameter"	"value"
"514"	4	3	"p[1,3]"	0.0335871133665657
"515"	5	3	"p[1,3]"	0.0497351171508974
"516"	6	3	"p[1,3]"	0.0615019194813777
"517"	7	3	"p[1,3]"	0.0866171682919329
"518"	8	3	"p[1,3]"	0.216522694178307
"519"	9	3	"p[1,3]"	0.0718965175320829
"520"	10	3	"p[1,3]"	0.144945153880675
"521"	1	3	"p[1,4]"	0.0837078935796102
"522"	2	3	"p[1,4]"	0.0389291678295862
"523"	3	3	"p[1,4]"	0.0428462543759565
"524"	4	3	"p[1,4]"	0.0644422767009335
"525"	5	3	"p[1,4]"	0.0823958531515131
"526"	6	3	"p[1,4]"	0.0722539341516574
"527"	7	3	"p[1,4]"	0.050050326068294
